mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9,delta_10,delta_11,delta_12,delta_13,delta2_1,delta2_2,delta2_3,delta2_4,delta2_5,delta2_6,delta2_7,delta2_8,delta2_9,delta2_10,delta2_11,delta2_12,delta2_13,Emotion
-743.2447,80.021996,6.3237553,15.321223,2.5775335,14.686853,-6.1189127,1.6816628,-6.521548,-7.967875,-4.022857,1.5604817,-5.040888,0.07141071,0.08167093,0.047709182,0.020439455,0.002912083,-0.002065294,-0.00097237795,0.0051769037,0.00994099,0.0075420896,0.0013996927,-0.0077069593,-0.01470113,0.0034319279,0.006963792,0.006639335,0.005440103,0.0062075383,0.005170101,0.004336155,0.0011836102,-0.0021053113,-0.005276165,-0.009342503,-0.008684532,-0.0056047705,1
-696.6906,52.449432,-4.731711,7.8952413,-2.4551656,-3.2393637,-12.658906,-2.6909354,-14.994215,-7.331119,-3.8012714,-5.794947,-5.8526034,-1.658564e-06,-2.3219895e-06,-2.2883e-06,-2.2442443e-06,-2.1975973e-06,-2.1548374e-06,-2.0939372e-06,-2.021375e-06,-1.9280808e-06,-1.842561e-06,-1.7389008e-06,-1.627466e-06,-1.5160311e-06,-1.4134075e-05,-1.9927387e-05,-1.9788095e-05,-1.9539957e-05,-1.9177147e-05,-1.8731731e-05,-1.8191726e-05,-1.7555512e-05,-1.6831833e-05,-1.6020693e-05,-1.5142981e-05,-1.4179427e-05,-1.3156753e-05,4
-439.7749,63.331932,-13.530379,1.2288487,-5.1960254,8.056468,-12.465603,2.0261395,-7.6130176,-1.1167723,-0.70649666,-1.0582895,0.4923272,-0.043856904,-0.0339625,0.022711203,0.05524334,0.04120935,0.008133797,-0.0016083742,0.022350632,0.051633377,0.05460858,0.02980313,0.0018337911,-0.00869699,-0.0063321386,-0.008344537,-0.0064799497,-0.00336419,0.0007392839,0.0051359027,0.008719625,0.0102415765,0.008836118,0.004678553,-0.0006576351,-0.004744316,-0.0058226855,5
-661.4356,65.55791,8.9505205,13.474436,-1.3497459,12.815387,-8.417333,1.1835107,-13.160005,-10.856378,-1.8198425,0.14949027,-0.9238708,-0.06147266,-0.00010532444,-0.041189894,0.0012558732,-0.0018918474,0.02499229,0.028356176,0.023866106,0.029173017,0.0138325775,0.016064119,-0.006820075,-0.012730469,-0.07819915,-0.025630094,-0.06867754,-0.009043914,-0.014509546,0.017543836,0.0495081,0.020619862,0.02589638,0.023829628,0.0018947953,-0.010783885,-0.018971967,6
-725.63336,80.54773,-1.6633581,14.152161,15.049745,12.581918,-5.947236,6.7639174,-3.3187678,-2.358029,2.3935778,-1.4931307,0.4023096,0.029430656,0.026310012,-0.0028286425,-0.014426896,-0.0009477832,0.013326346,0.008481048,-0.0068030106,-0.014132963,-0.0120202135,-0.012666181,-0.018122314,-0.01691703,0.004359884,0.010887069,0.016316753,0.013163633,0.00594357,0.001813465,0.001936297,0.0022547182,-0.0004330437,-0.0026528586,-0.0011985122,0.0005238323,-0.0007014684,3
-749.3791,79.9071,4.493168,12.238165,9.947165,14.850659,-0.7768699,3.0620332,1.8318692,0.86208826,-2.864493,1.0893272,4.282707,-0.011120832,-0.01570624,-0.015644351,-0.015543018,-0.015404998,-0.015233281,-0.015030813,-0.014800087,-0.014542718,-0.014259531,-0.013950469,-0.013615123,-0.013252918,-0.0076055466,-0.010742656,-0.0107034575,-0.0106402235,-0.01055565,-0.010452813,-0.0103345625,-0.010203068,-0.01005941,-0.00990358,-0.009734484,-0.009550467,-0.009349644,3
-729.1693,90.1437,12.327232,20.497631,9.352199,19.557446,0.5562979,14.280352,4.357327,-4.498666,-1.4825302,4.6134906,1.9172211,-0.016226135,-0.012395223,0.007677377,0.015457121,0.003068886,-0.0151900705,-0.019300954,-0.0055392827,0.010545763,0.012432246,0.0006562094,-0.009297087,-0.005288377,0.0044581257,0.009305348,0.014394189,0.01474624,0.009258247,0.0041237487,0.0052562794,0.010839575,0.013300845,0.008519342,0.0011021331,-0.0008615429,0.0045466493,1
-626.59625,87.78196,4.348184,9.70811,8.2470455,20.610826,-0.8533848,5.001571,0.5073172,-1.777147,3.5349007,2.5369508,2.610614,0.0857035,0.10043699,0.058435664,0.030114159,0.025391335,0.029057818,0.028677465,0.025534634,0.023335451,0.021669144,0.020517925,0.021226382,0.022683503,0.06508225,0.07383986,0.037090037,0.012233107,0.00737832,0.008945733,0.006832509,0.003369579,0.00208996,0.0016610399,0.00079960155,0.0002241394,-0.0003842011,7
-621.7809,72.60584,-2.7054505,10.049998,0.8011317,6.3649035,-13.983368,0.17556038,-11.82093,-12.594958,-2.658961,-3.1427228,-5.5130453,0.037855327,0.04434218,0.024364393,0.008627077,0.004595614,0.005927936,0.0011414498,-0.012743478,-0.026404573,-0.027935535,-0.0152591625,0.0018400679,0.011580722,-0.0032427728,-0.0019957502,0.0029935173,0.005008222,0.0017567843,-0.0037007763,-0.00635254,-0.0044392496,-0.0009432693,-0.00013694198,-0.0031536089,-0.0071016834,-0.008159715,6
-792.5322,87.73821,0.13111974,20.92621,12.937468,25.550768,0.41401348,0.21056505,-6.961643,-1.7019571,-2.9791722,-1.6395694,1.165861,0.06383614,0.057874598,0.030704215,0.023820922,0.0040321876,0.015541135,0.01811672,0.017182855,0.03538538,0.024356678,0.003765038,0.0064837695,0.0117218755,-0.015414913,0.0015057322,-0.005718263,-0.0002843108,-0.010116506,-0.017318282,-0.00824252,0.007808956,0.004966031,-0.0030167957,-0.007441544,-0.0049228556,-0.0075105266,4
